년,월,업종코드,업종명,매출액
2020,5,1101,양복점.한복점,9781000
2020,5,1104,아동.유아복,21652220
2020,5,1106,일반의류,114344410
2020,5,1107,스포츠용품점,35796121
2020,5,1108,모피.무스탕,300000
2020,5,1110,내의류,15813570
2020,5,1111,교복,9023000
2020,5,1112,의류관련(기타),3062500
2020,5,1201,커튼.카펫.수건,15395200
2020,5,1202,침구및수예품,55046730
2020,5,1301,세탁업,32373550
2020,5,1401,기타잡화,21538400
2020,5,1402,시계.귀금속,28843780
2020,5,1403,안경.광학제품,120601571
2020,5,1404,구두.신발,4781070
2020,5,1405,가방.핸드백,4797100
2020,5,1407,가발,2737000
2020,5,1501,화장품,85251538
2020,5,1503,미용재료,4957600
2020,5,1601,이발소,990500
2020,5,1602,미용실(두발전문),236520012
2020,5,1701,피부.체형미관리,97799140
2020,5,2102,"축산물,정육점",166583548
2020,5,2103,"수산물,건어물",58171680
2020,5,2104,"농산물,청과물",119031280
2020,5,2105,기타식음료품,139995211
2020,5,2201,건강보조식품,22480387
2020,5,2202,인삼전문점,6849320
2020,5,2203,한국인삼공사,6272000
2020,5,2301,일반음식점,1300136603
2020,5,2302,중식전문점,94215612
2020,5,2303,일식전문점,96377450
2020,5,2305,서양식전문점,79907540
2020,5,2307,패스트푸드점,58078810
2020,5,2309,치킨전문점,93978244
2020,5,2310,식음료(기타),20927970
2020,5,2401,기타음식점,30059650
2020,5,2402,뷔페.출장연회,10444300
2020,5,2501,제과.제빵,108333720
2020,5,2502,커피전문점,140963575
2020,5,2503,아이스크림전문점,6847450
2020,5,2601,일반주점,41517960
2020,5,2602,주류전문점,1004600
2020,5,2604,기타주점,64100
2020,5,3101,가전제품,260834413
2020,5,3102,정수기.비데,390000
2020,5,3104,기타전자제품,4872350
2020,5,3201,컴퓨터및소프트웨어,21889391
2020,5,3202,통신기기,8982100
2020,5,3203,"철재,사무용가구",2572800
2020,5,3204,기타사무용기기,484480
2020,5,3301,가구판매점,327877837
2020,5,3302,기타가정.주방용품,28059904
2020,5,3303,조명기구.전기,7796684
2020,5,3402,"보일러,펌프,샷시",10192728
2020,5,3403,기타건축자재,25057156
2020,5,3405,실내장식(인테리어),16990140
2020,5,3501,중고품판매점,4548900
2020,5,3503,기타장비임대,11373800
2020,5,3504,기타수리.수선전문,19947930
2020,5,3601,기타부동산관련업,1007200
2020,5,3602,부동산중개,18000
2020,5,3801,웨딩토탈서비스,12838200
2020,5,3802,예식장,28453500
2020,5,4101,종합병원,156890380
2020,5,4102,일반병원,79437429
2020,5,4103,한방병원,23140270
2020,5,4104,요양병원,136417400
2020,5,4201,치과,645740759
2020,5,4202,내과,82134980
2020,5,4203,신경정신과,28160030
2020,5,4204,외과,35484720
2020,5,4205,성형외과,60412800
2020,5,4206,산부인과,40415800
2020,5,4207,안과,37177320
2020,5,4208,이비인후과,7319870
2020,5,4209,피부과,130221680
2020,5,4211,기타의료업,66464220
2020,5,4212,한의원,96044360
2020,5,4214,소아과,12276340
2020,5,4215,정형외과,114437320
2020,5,4401,의약품판매,31115087
2020,5,4402,약국,229942100
2020,5,4403,한약방,5314500
2020,5,4501,기타약품.의료기기,61562900
2020,5,4601,산후조리원,168770020
